One,Two
"['01,14,17,27,28,45,11', '08,24,35,37,41,47,23', '18,22,29,30,46,47,06']","09,18,23,35,36,47,41"
"['08,24,35,37,41,47,23', '18,22,29,30,46,47,06', '09,18,23,35,36,47,41']","19,23,25,30,42,47,16"
"['18,22,29,30,46,47,06', '09,18,23,35,36,47,41', '19,23,25,30,42,47,16']","08,18,26,31,46,47,20"
"['09,18,23,35,36,47,41', '19,23,25,30,42,47,16', '08,18,26,31,46,47,20']","12,26,28,35,39,40,16"
"['19,23,25,30,42,47,16', '08,18,26,31,46,47,20', '12,26,28,35,39,40,16']","02,08,27,40,41,47,28"
"['08,18,26,31,46,47,20', '12,26,28,35,39,40,16', '02,08,27,40,41,47,28']","13,15,16,20,40,43,14"
"['12,26,28,35,39,40,16', '02,08,27,40,41,47,28', '13,15,16,20,40,43,14']","06,18,26,30,37,38,16"
"['02,08,27,40,41,47,28', '13,15,16,20,40,43,14', '06,18,26,30,37,38,16']","08,26,35,37,40,43,06"
"['13,15,16,20,40,43,14', '06,18,26,30,37,38,16', '08,26,35,37,40,43,06']","13,17,18,24,28,32,37"
"['06,18,26,30,37,38,16', '08,26,35,37,40,43,06', '13,17,18,24,28,32,37']","03,05,09,12,13,46,04"
"['08,26,35,37,40,43,06', '13,17,18,24,28,32,37', '03,05,09,12,13,46,04']","11,12,23,28,40,48,09"
"['13,17,18,24,28,32,37', '03,05,09,12,13,46,04', '11,12,23,28,40,48,09']","06,19,20,26,32,47,35"
"['03,05,09,12,13,46,04', '11,12,23,28,40,48,09', '06,19,20,26,32,47,35']","10,19,20,24,33,48,01"
"['11,12,23,28,40,48,09', '06,19,20,26,32,47,35', '10,19,20,24,33,48,01']","06,15,21,22,31,44,41"
"['06,19,20,26,32,47,35', '10,19,20,24,33,48,01', '06,15,21,22,31,44,41']","05,11,12,21,22,28,25"
"['10,19,20,24,33,48,01', '06,15,21,22,31,44,41', '05,11,12,21,22,28,25']","08,12,19,32,42,46,28"
"['06,15,21,22,31,44,41', '05,11,12,21,22,28,25', '08,12,19,32,42,46,28']","01,02,16,17,27,30,48"
"['05,11,12,21,22,28,25', '08,12,19,32,42,46,28', '01,02,16,17,27,30,48']","03,13,14,19,24,45,05"
"['08,12,19,32,42,46,28', '01,02,16,17,27,30,48', '03,13,14,19,24,45,05']","06,09,13,19,36,37,27"
"['01,02,16,17,27,30,48', '03,13,14,19,24,45,05', '06,09,13,19,36,37,27']","17,23,27,38,48,49,19"
"['03,13,14,19,24,45,05', '06,09,13,19,36,37,27', '17,23,27,38,48,49,19']","09,22,44,45,48,49,08"
"['06,09,13,19,36,37,27', '17,23,27,38,48,49,19', '09,22,44,45,48,49,08']","01,02,05,07,26,30,24"
"['17,23,27,38,48,49,19', '09,22,44,45,48,49,08', '01,02,05,07,26,30,24']","01,04,20,29,41,45,36"
"['09,22,44,45,48,49,08', '01,02,05,07,26,30,24', '01,04,20,29,41,45,36']","12,15,22,38,43,44,09"
"['01,02,05,07,26,30,24', '01,04,20,29,41,45,36', '12,15,22,38,43,44,09']","13,15,20,26,29,36,37"
"['01,04,20,29,41,45,36', '12,15,22,38,43,44,09', '13,15,20,26,29,36,37']","02,11,21,41,45,49,26"
"['12,15,22,38,43,44,09', '13,15,20,26,29,36,37', '02,11,21,41,45,49,26']","07,17,19,30,32,37,03"
"['13,15,20,26,29,36,37', '02,11,21,41,45,49,26', '07,17,19,30,32,37,03']","01,07,21,25,35,36,39"
"['02,11,21,41,45,49,26', '07,17,19,30,32,37,03', '01,07,21,25,35,36,39']","11,18,20,21,35,37,08"
"['07,17,19,30,32,37,03', '01,07,21,25,35,36,39', '11,18,20,21,35,37,08']","05,27,29,36,40,42,35"
"['01,07,21,25,35,36,39', '11,18,20,21,35,37,08', '05,27,29,36,40,42,35']","02,12,16,31,39,43,18"
"['11,18,20,21,35,37,08', '05,27,29,36,40,42,35', '02,12,16,31,39,43,18']","09,21,24,33,36,43,03"
"['05,27,29,36,40,42,35', '02,12,16,31,39,43,18', '09,21,24,33,36,43,03']","08,09,14,17,25,45,27"
"['02,12,16,31,39,43,18', '09,21,24,33,36,43,03', '08,09,14,17,25,45,27']","01,04,09,14,22,28,20"
"['09,21,24,33,36,43,03', '08,09,14,17,25,45,27', '01,04,09,14,22,28,20']","10,16,26,28,41,48,42"
"['08,09,14,17,25,45,27', '01,04,09,14,22,28,20', '10,16,26,28,41,48,42']","06,11,27,34,42,49,21"
"['01,04,09,14,22,28,20', '10,16,26,28,41,48,42', '06,11,27,34,42,49,21']","04,06,08,10,15,36,13"
"['10,16,26,28,41,48,42', '06,11,27,34,42,49,21', '04,06,08,10,15,36,13']","08,10,17,38,44,49,40"
"['06,11,27,34,42,49,21', '04,06,08,10,15,36,13', '08,10,17,38,44,49,40']","02,08,13,19,30,31,20"
"['04,06,08,10,15,36,13', '08,10,17,38,44,49,40', '02,08,13,19,30,31,20']","01,10,11,15,20,21,26"
"['08,10,17,38,44,49,40', '02,08,13,19,30,31,20', '01,10,11,15,20,21,26']","08,09,11,24,40,47,33"
"['02,08,13,19,30,31,20', '01,10,11,15,20,21,26', '08,09,11,24,40,47,33']","15,16,33,35,36,46,21"
"['01,10,11,15,20,21,26', '08,09,11,24,40,47,33', '15,16,33,35,36,46,21']","02,04,18,31,36,43,08"
"['08,09,11,24,40,47,33', '15,16,33,35,36,46,21', '02,04,18,31,36,43,08']","03,12,22,23,29,46,33"
"['15,16,33,35,36,46,21', '02,04,18,31,36,43,08', '03,12,22,23,29,46,33']","01,03,28,30,33,39,34"
"['02,04,18,31,36,43,08', '03,12,22,23,29,46,33', '01,03,28,30,33,39,34']","03,12,27,29,37,46,17"
"['03,12,22,23,29,46,33', '01,03,28,30,33,39,34', '03,12,27,29,37,46,17']","06,16,26,31,36,46,09"
"['01,03,28,30,33,39,34', '03,12,27,29,37,46,17', '06,16,26,31,36,46,09']","01,04,21,30,39,42,44"
"['03,12,27,29,37,46,17', '06,16,26,31,36,46,09', '01,04,21,30,39,42,44']","03,08,10,11,35,36,39"
"['06,16,26,31,36,46,09', '01,04,21,30,39,42,44', '03,08,10,11,35,36,39']","07,08,16,23,32,39,22"
"['01,04,21,30,39,42,44', '03,08,10,11,35,36,39', '07,08,16,23,32,39,22']","09,11,17,39,40,43,46"
"['03,08,10,11,35,36,39', '07,08,16,23,32,39,22', '09,11,17,39,40,43,46']","08,13,16,20,22,28,49"
"['07,08,16,23,32,39,22', '09,11,17,39,40,43,46', '08,13,16,20,22,28,49']","02,10,32,37,46,49,28"
"['09,11,17,39,40,43,46', '08,13,16,20,22,28,49', '02,10,32,37,46,49,28']","04,06,07,11,26,31,38"
"['08,13,16,20,22,28,49', '02,10,32,37,46,49,28', '04,06,07,11,26,31,38']","07,12,18,25,28,48,46"
"['02,10,32,37,46,49,28', '04,06,07,11,26,31,38', '07,12,18,25,28,48,46']","01,04,14,17,23,46,41"
"['04,06,07,11,26,31,38', '07,12,18,25,28,48,46', '01,04,14,17,23,46,41']","01,12,18,19,38,46,02"
"['07,12,18,25,28,48,46', '01,04,14,17,23,46,41', '01,12,18,19,38,46,02']","07,09,15,23,34,35,41"
"['01,04,14,17,23,46,41', '01,12,18,19,38,46,02', '07,09,15,23,34,35,41']","06,12,19,28,39,47,36"
"['01,12,18,19,38,46,02', '07,09,15,23,34,35,41', '06,12,19,28,39,47,36']","01,08,17,19,40,46,15"
"['07,09,15,23,34,35,41', '06,12,19,28,39,47,36', '01,08,17,19,40,46,15']","12,16,26,27,28,45,06"
"['06,12,19,28,39,47,36', '01,08,17,19,40,46,15', '12,16,26,27,28,45,06']","01,10,14,34,42,47,09"
"['01,08,17,19,40,46,15', '12,16,26,27,28,45,06', '01,10,14,34,42,47,09']","06,07,14,33,36,48,18"
"['12,16,26,27,28,45,06', '01,10,14,34,42,47,09', '06,07,14,33,36,48,18']","11,13,22,29,39,48,45"
"['01,10,14,34,42,47,09', '06,07,14,33,36,48,18', '11,13,22,29,39,48,45']","02,21,24,27,36,46,05"
"['06,07,14,33,36,48,18', '11,13,22,29,39,48,45', '02,21,24,27,36,46,05']","05,08,11,14,15,36,46"
"['11,13,22,29,39,48,45', '02,21,24,27,36,46,05', '05,08,11,14,15,36,46']","05,11,12,14,31,35,26"
"['02,21,24,27,36,46,05', '05,08,11,14,15,36,46', '05,11,12,14,31,35,26']","05,07,16,28,31,49,34"
"['05,08,11,14,15,36,46', '05,11,12,14,31,35,26', '05,07,16,28,31,49,34']","04,17,24,27,29,40,09"
"['05,11,12,14,31,35,26', '05,07,16,28,31,49,34', '04,17,24,27,29,40,09']","12,14,16,34,37,48,07"
"['05,07,16,28,31,49,34', '04,17,24,27,29,40,09', '12,14,16,34,37,48,07']","03,04,12,13,24,30,09"
"['04,17,24,27,29,40,09', '12,14,16,34,37,48,07', '03,04,12,13,24,30,09']","01,04,17,27,32,48,06"
"['12,14,16,34,37,48,07', '03,04,12,13,24,30,09', '01,04,17,27,32,48,06']","07,27,43,44,45,46,35"
"['03,04,12,13,24,30,09', '01,04,17,27,32,48,06', '07,27,43,44,45,46,35']","06,15,16,22,43,45,48"
"['01,04,17,27,32,48,06', '07,27,43,44,45,46,35', '06,15,16,22,43,45,48']","08,17,21,34,39,45,44"
"['07,27,43,44,45,46,35', '06,15,16,22,43,45,48', '08,17,21,34,39,45,44']","04,17,24,27,35,49,39"
"['06,15,16,22,43,45,48', '08,17,21,34,39,45,44', '04,17,24,27,35,49,39']","03,05,09,15,30,49,48"
"['08,17,21,34,39,45,44', '04,17,24,27,35,49,39', '03,05,09,15,30,49,48']","10,13,16,29,31,37,32"
"['04,17,24,27,35,49,39', '03,05,09,15,30,49,48', '10,13,16,29,31,37,32']","15,24,29,34,47,48,31"
"['03,05,09,15,30,49,48', '10,13,16,29,31,37,32', '15,24,29,34,47,48,31']","19,24,28,29,41,43,37"
"['10,13,16,29,31,37,32', '15,24,29,34,47,48,31', '19,24,28,29,41,43,37']","11,14,28,39,40,45,42"
"['15,24,29,34,47,48,31', '19,24,28,29,41,43,37', '11,14,28,39,40,45,42']","01,05,18,21,40,44,22"
"['19,24,28,29,41,43,37', '11,14,28,39,40,45,42', '01,05,18,21,40,44,22']","22,26,31,42,44,49,29"
"['11,14,28,39,40,45,42', '01,05,18,21,40,44,22', '22,26,31,42,44,49,29']","07,18,26,28,34,38,05"
"['01,05,18,21,40,44,22', '22,26,31,42,44,49,29', '07,18,26,28,34,38,05']","10,29,35,39,41,44,07"
"['22,26,31,42,44,49,29', '07,18,26,28,34,38,05', '10,29,35,39,41,44,07']","04,11,25,36,41,43,27"
"['07,18,26,28,34,38,05', '10,29,35,39,41,44,07', '04,11,25,36,41,43,27']","04,16,22,32,35,47,43"
"['10,29,35,39,41,44,07', '04,11,25,36,41,43,27', '04,16,22,32,35,47,43']","16,20,34,42,46,49,04"
"['04,11,25,36,41,43,27', '04,16,22,32,35,47,43', '16,20,34,42,46,49,04']","03,14,29,33,39,48,22"
"['04,16,22,32,35,47,43', '16,20,34,42,46,49,04', '03,14,29,33,39,48,22']","14,19,34,43,46,47,42"
"['16,20,34,42,46,49,04', '03,14,29,33,39,48,22', '14,19,34,43,46,47,42']","03,06,10,33,39,44,37"
"['03,14,29,33,39,48,22', '14,19,34,43,46,47,42', '03,06,10,33,39,44,37']","07,10,16,17,30,43,23"
"['14,19,34,43,46,47,42', '03,06,10,33,39,44,37', '07,10,16,17,30,43,23']","10,27,28,31,37,41,34"
"['03,06,10,33,39,44,37', '07,10,16,17,30,43,23', '10,27,28,31,37,41,34']","24,29,35,39,42,49,48"
"['07,10,16,17,30,43,23', '10,27,28,31,37,41,34', '24,29,35,39,42,49,48']","05,10,16,22,23,24,31"
"['10,27,28,31,37,41,34', '24,29,35,39,42,49,48', '05,10,16,22,23,24,31']","01,06,07,27,30,39,21"
"['24,29,35,39,42,49,48', '05,10,16,22,23,24,31', '01,06,07,27,30,39,21']","02,17,25,32,39,43,34"
"['05,10,16,22,23,24,31', '01,06,07,27,30,39,21', '02,17,25,32,39,43,34']","09,11,14,25,33,35,02"
"['01,06,07,27,30,39,21', '02,17,25,32,39,43,34', '09,11,14,25,33,35,02']","01,04,08,22,32,45,02"
"['02,17,25,32,39,43,34', '09,11,14,25,33,35,02', '01,04,08,22,32,45,02']","10,30,32,37,46,47,16"
"['09,11,14,25,33,35,02', '01,04,08,22,32,45,02', '10,30,32,37,46,47,16']","15,17,19,30,40,47,25"
"['01,04,08,22,32,45,02', '10,30,32,37,46,47,16', '15,17,19,30,40,47,25']","12,15,29,31,36,45,40"
"['10,30,32,37,46,47,16', '15,17,19,30,40,47,25', '12,15,29,31,36,45,40']","03,36,37,40,42,48,17"
"['15,17,19,30,40,47,25', '12,15,29,31,36,45,40', '03,36,37,40,42,48,17']","06,18,40,43,45,48,24"
"['12,15,29,31,36,45,40', '03,36,37,40,42,48,17', '06,18,40,43,45,48,24']","01,03,18,22,29,32,21"
"['03,36,37,40,42,48,17', '06,18,40,43,45,48,24', '01,03,18,22,29,32,21']","07,16,35,45,47,48,39"
"['06,18,40,43,45,48,24', '01,03,18,22,29,32,21', '07,16,35,45,47,48,39']","04,07,13,17,21,35,33"
"['01,03,18,22,29,32,21', '07,16,35,45,47,48,39', '04,07,13,17,21,35,33']","11,15,20,23,26,35,31"
"['07,16,35,45,47,48,39', '04,07,13,17,21,35,33', '11,15,20,23,26,35,31']","02,03,08,15,24,46,36"
"['04,07,13,17,21,35,33', '11,15,20,23,26,35,31', '02,03,08,15,24,46,36']","01,09,20,28,39,42,47"
"['11,15,20,23,26,35,31', '02,03,08,15,24,46,36', '01,09,20,28,39,42,47']","05,07,13,23,24,30,01"
"['02,03,08,15,24,46,36', '01,09,20,28,39,42,47', '05,07,13,23,24,30,01']","01,12,25,37,39,40,18"
"['01,09,20,28,39,42,47', '05,07,13,23,24,30,01', '01,12,25,37,39,40,18']","05,13,23,37,43,44,26"
"['05,07,13,23,24,30,01', '01,12,25,37,39,40,18', '05,13,23,37,43,44,26']","16,20,35,46,47,49,31"
"['01,12,25,37,39,40,18', '05,13,23,37,43,44,26', '16,20,35,46,47,49,31']","12,13,16,29,44,45,30"
"['05,13,23,37,43,44,26', '16,20,35,46,47,49,31', '12,13,16,29,44,45,30']","05,24,30,35,36,38,11"
"['16,20,35,46,47,49,31', '12,13,16,29,44,45,30', '05,24,30,35,36,38,11']","01,26,34,35,36,37,07"
"['12,13,16,29,44,45,30', '05,24,30,35,36,38,11', '01,26,34,35,36,37,07']","08,15,21,30,36,39,17"
"['05,24,30,35,36,38,11', '01,26,34,35,36,37,07', '08,15,21,30,36,39,17']","07,09,17,25,28,35,36"
"['01,26,34,35,36,37,07', '08,15,21,30,36,39,17', '07,09,17,25,28,35,36']","07,23,24,28,32,40,08"
"['08,15,21,30,36,39,17', '07,09,17,25,28,35,36', '07,23,24,28,32,40,08']","02,08,17,30,34,40,26"
"['07,09,17,25,28,35,36', '07,23,24,28,32,40,08', '02,08,17,30,34,40,26']","03,13,19,24,27,38,40"
"['07,23,24,28,32,40,08', '02,08,17,30,34,40,26', '03,13,19,24,27,38,40']","06,16,40,45,46,48,31"
"['02,08,17,30,34,40,26', '03,13,19,24,27,38,40', '06,16,40,45,46,48,31']","09,10,12,21,31,35,19"
"['03,13,19,24,27,38,40', '06,16,40,45,46,48,31', '09,10,12,21,31,35,19']","05,11,17,22,30,34,10"
"['06,16,40,45,46,48,31', '09,10,12,21,31,35,19', '05,11,17,22,30,34,10']","04,11,22,26,38,47,13"
"['09,10,12,21,31,35,19', '05,11,17,22,30,34,10', '04,11,22,26,38,47,13']","08,15,19,25,30,38,06"
"['05,11,17,22,30,34,10', '04,11,22,26,38,47,13', '08,15,19,25,30,38,06']","01,26,28,37,39,46,03"
"['04,11,22,26,38,47,13', '08,15,19,25,30,38,06', '01,26,28,37,39,46,03']","03,07,31,32,34,43,41"
"['08,15,19,25,30,38,06', '01,26,28,37,39,46,03', '03,07,31,32,34,43,41']","02,04,11,18,48,49,38"
"['01,26,28,37,39,46,03', '03,07,31,32,34,43,41', '02,04,11,18,48,49,38']","02,14,23,25,31,47,48"
"['03,07,31,32,34,43,41', '02,04,11,18,48,49,38', '02,14,23,25,31,47,48']","22,27,30,33,37,46,24"
"['02,04,11,18,48,49,38', '02,14,23,25,31,47,48', '22,27,30,33,37,46,24']","02,08,32,34,44,46,14"
"['02,14,23,25,31,47,48', '22,27,30,33,37,46,24', '02,08,32,34,44,46,14']","01,10,24,33,44,48,37"
"['22,27,30,33,37,46,24', '02,08,32,34,44,46,14', '01,10,24,33,44,48,37']","05,06,14,19,27,33,31"
"['02,08,32,34,44,46,14', '01,10,24,33,44,48,37', '05,06,14,19,27,33,31']","01,07,24,31,35,47,21"
"['01,10,24,33,44,48,37', '05,06,14,19,27,33,31', '01,07,24,31,35,47,21']","03,04,22,32,33,49,21"
"['05,06,14,19,27,33,31', '01,07,24,31,35,47,21', '03,04,22,32,33,49,21']","05,14,18,28,37,42,19"
"['01,07,24,31,35,47,21', '03,04,22,32,33,49,21', '05,14,18,28,37,42,19']","12,18,25,32,41,47,07"
"['03,04,22,32,33,49,21', '05,14,18,28,37,42,19', '12,18,25,32,41,47,07']","13,17,22,25,31,48,26"
"['05,14,18,28,37,42,19', '12,18,25,32,41,47,07', '13,17,22,25,31,48,26']","05,07,10,15,19,44,49"
"['12,18,25,32,41,47,07', '13,17,22,25,31,48,26', '05,07,10,15,19,44,49']","08,11,17,21,28,49,37"
"['13,17,22,25,31,48,26', '05,07,10,15,19,44,49', '08,11,17,21,28,49,37']","05,12,14,22,38,44,25"
"['05,07,10,15,19,44,49', '08,11,17,21,28,49,37', '05,12,14,22,38,44,25']","08,11,13,19,23,28,49"
"['08,11,17,21,28,49,37', '05,12,14,22,38,44,25', '08,11,13,19,23,28,49']","02,23,29,30,41,43,16"
"['05,12,14,22,38,44,25', '08,11,13,19,23,28,49', '02,23,29,30,41,43,16']","05,18,26,31,37,43,08"
"['08,11,13,19,23,28,49', '02,23,29,30,41,43,16', '05,18,26,31,37,43,08']","05,09,13,18,19,31,32"
"['02,23,29,30,41,43,16', '05,18,26,31,37,43,08', '05,09,13,18,19,31,32']","02,03,04,14,18,46,25"
"['05,18,26,31,37,43,08', '05,09,13,18,19,31,32', '02,03,04,14,18,46,25']","06,20,23,24,27,34,16"
"['05,09,13,18,19,31,32', '02,03,04,14,18,46,25', '06,20,23,24,27,34,16']","17,18,32,33,41,42,12"
"['02,03,04,14,18,46,25', '06,20,23,24,27,34,16', '17,18,32,33,41,42,12']","02,11,14,22,25,31,26"
"['06,20,23,24,27,34,16', '17,18,32,33,41,42,12', '02,11,14,22,25,31,26']","09,25,31,37,38,45,21"
"['17,18,32,33,41,42,12', '02,11,14,22,25,31,26', '09,25,31,37,38,45,21']","08,13,41,42,47,48,29"
"['02,11,14,22,25,31,26', '09,25,31,37,38,45,21', '08,13,41,42,47,48,29']","04,18,24,36,37,38,31"
"['09,25,31,37,38,45,21', '08,13,41,42,47,48,29', '04,18,24,36,37,38,31']","10,14,20,25,36,46,02"
"['08,13,41,42,47,48,29', '04,18,24,36,37,38,31', '10,14,20,25,36,46,02']","01,17,20,28,32,41,13"
"['04,18,24,36,37,38,31', '10,14,20,25,36,46,02', '01,17,20,28,32,41,13']","02,07,19,20,25,46,43"
"['10,14,20,25,36,46,02', '01,17,20,28,32,41,13', '02,07,19,20,25,46,43']","13,25,27,39,45,49,11"
"['01,17,20,28,32,41,13', '02,07,19,20,25,46,43', '13,25,27,39,45,49,11']","02,03,28,35,44,45,36"
"['02,07,19,20,25,46,43', '13,25,27,39,45,49,11', '02,03,28,35,44,45,36']","05,11,12,30,43,48,15"
"['13,25,27,39,45,49,11', '02,03,28,35,44,45,36', '05,11,12,30,43,48,15']","08,15,18,30,31,41,45"
"['02,03,28,35,44,45,36', '05,11,12,30,43,48,15', '08,15,18,30,31,41,45']","09,17,18,33,44,47,08"
"['05,11,12,30,43,48,15', '08,15,18,30,31,41,45', '09,17,18,33,44,47,08']","01,03,07,09,28,40,45"
"['08,15,18,30,31,41,45', '09,17,18,33,44,47,08', '01,03,07,09,28,40,45']","04,06,22,41,42,47,18"
"['09,17,18,33,44,47,08', '01,03,07,09,28,40,45', '04,06,22,41,42,47,18']","18,19,34,35,45,49,16"
"['01,03,07,09,28,40,45', '04,06,22,41,42,47,18', '18,19,34,35,45,49,16']","22,29,30,36,37,42,09"
"['04,06,22,41,42,47,18', '18,19,34,35,45,49,16', '22,29,30,36,37,42,09']","12,13,18,39,44,48,35"
"['18,19,34,35,45,49,16', '22,29,30,36,37,42,09', '12,13,18,39,44,48,35']","20,31,32,33,37,38,39"
"['22,29,30,36,37,42,09', '12,13,18,39,44,48,35', '20,31,32,33,37,38,39']","03,04,21,30,31,48,15"
"['12,13,18,39,44,48,35', '20,31,32,33,37,38,39', '03,04,21,30,31,48,15']","07,17,19,24,30,44,31"
"['20,31,32,33,37,38,39', '03,04,21,30,31,48,15', '07,17,19,24,30,44,31']","10,21,32,36,40,48,09"
"['03,04,21,30,31,48,15', '07,17,19,24,30,44,31', '10,21,32,36,40,48,09']","18,28,31,34,36,45,42"
"['07,17,19,24,30,44,31', '10,21,32,36,40,48,09', '18,28,31,34,36,45,42']","01,03,06,30,38,41,46"
"['10,21,32,36,40,48,09', '18,28,31,34,36,45,42', '01,03,06,30,38,41,46']","07,34,35,42,43,47,29"
"['18,28,31,34,36,45,42', '01,03,06,30,38,41,46', '07,34,35,42,43,47,29']","06,29,40,44,46,47,33"
"['01,03,06,30,38,41,46', '07,34,35,42,43,47,29', '06,29,40,44,46,47,33']","07,38,39,43,47,48,29"
"['07,34,35,42,43,47,29', '06,29,40,44,46,47,33', '07,38,39,43,47,48,29']","02,19,27,31,38,49,32"
"['06,29,40,44,46,47,33', '07,38,39,43,47,48,29', '02,19,27,31,38,49,32']","01,03,14,24,26,45,38"
"['07,38,39,43,47,48,29', '02,19,27,31,38,49,32', '01,03,14,24,26,45,38']","12,23,28,29,43,47,26"
"['02,19,27,31,38,49,32', '01,03,14,24,26,45,38', '12,23,28,29,43,47,26']","13,14,18,27,29,44,21"
"['01,03,14,24,26,45,38', '12,23,28,29,43,47,26', '13,14,18,27,29,44,21']","01,24,28,33,43,44,31"
"['12,23,28,29,43,47,26', '13,14,18,27,29,44,21', '01,24,28,33,43,44,31']","05,07,09,22,27,34,45"
"['13,14,18,27,29,44,21', '01,24,28,33,43,44,31', '05,07,09,22,27,34,45']","05,11,21,24,37,39,13"
"['01,24,28,33,43,44,31', '05,07,09,22,27,34,45', '05,11,21,24,37,39,13']","11,14,22,34,41,44,27"
"['05,07,09,22,27,34,45', '05,11,21,24,37,39,13', '11,14,22,34,41,44,27']","17,19,22,25,30,37,31"
"['05,11,21,24,37,39,13', '11,14,22,34,41,44,27', '17,19,22,25,30,37,31']","08,15,28,35,41,46,11"
"['11,14,22,34,41,44,27', '17,19,22,25,30,37,31', '08,15,28,35,41,46,11']","03,16,26,28,31,41,45"
"['17,19,22,25,30,37,31', '08,15,28,35,41,46,11', '03,16,26,28,31,41,45']","04,11,18,19,27,31,24"
"['08,15,28,35,41,46,11', '03,16,26,28,31,41,45', '04,11,18,19,27,31,24']","11,18,21,34,41,49,47"
"['03,16,26,28,31,41,45', '04,11,18,19,27,31,24', '11,18,21,34,41,49,47']","09,11,30,36,39,45,26"
"['04,11,18,19,27,31,24', '11,18,21,34,41,49,47', '09,11,30,36,39,45,26']","01,06,07,12,16,41,49"
"['11,18,21,34,41,49,47', '09,11,30,36,39,45,26', '01,06,07,12,16,41,49']","06,24,28,36,38,44,08"
"['09,11,30,36,39,45,26', '01,06,07,12,16,41,49', '06,24,28,36,38,44,08']","01,05,17,19,26,46,47"
"['01,06,07,12,16,41,49', '06,24,28,36,38,44,08', '01,05,17,19,26,46,47']","09,15,23,38,47,49,36"
"['06,24,28,36,38,44,08', '01,05,17,19,26,46,47', '09,15,23,38,47,49,36']","03,21,29,33,35,40,45"
"['01,05,17,19,26,46,47', '09,15,23,38,47,49,36', '03,21,29,33,35,40,45']","01,09,24,45,46,49,12"
"['09,15,23,38,47,49,36', '03,21,29,33,35,40,45', '01,09,24,45,46,49,12']","11,13,16,35,40,49,39"
"['03,21,29,33,35,40,45', '01,09,24,45,46,49,12', '11,13,16,35,40,49,39']","04,18,31,34,39,44,49"
"['01,09,24,45,46,49,12', '11,13,16,35,40,49,39', '04,18,31,34,39,44,49']","05,22,38,43,46,49,13"
"['11,13,16,35,40,49,39', '04,18,31,34,39,44,49', '05,22,38,43,46,49,13']","01,17,22,26,33,40,11"
"['04,18,31,34,39,44,49', '05,22,38,43,46,49,13', '01,17,22,26,33,40,11']","01,08,13,18,28,49,06"
"['05,22,38,43,46,49,13', '01,17,22,26,33,40,11', '01,08,13,18,28,49,06']","13,23,25,31,39,46,41"
"['01,17,22,26,33,40,11', '01,08,13,18,28,49,06', '13,23,25,31,39,46,41']","01,30,35,44,47,49,46"
"['01,08,13,18,28,49,06', '13,23,25,31,39,46,41', '01,30,35,44,47,49,46']","10,22,29,30,33,37,27"
"['13,23,25,31,39,46,41', '01,30,35,44,47,49,46', '10,22,29,30,33,37,27']","06,23,24,25,29,30,47"
"['01,30,35,44,47,49,46', '10,22,29,30,33,37,27', '06,23,24,25,29,30,47']","04,11,17,23,31,39,14"
"['10,22,29,30,33,37,27', '06,23,24,25,29,30,47', '04,11,17,23,31,39,14']","05,07,21,22,31,43,04"
"['06,23,24,25,29,30,47', '04,11,17,23,31,39,14', '05,07,21,22,31,43,04']","13,22,24,35,40,45,37"
"['04,11,17,23,31,39,14', '05,07,21,22,31,43,04', '13,22,24,35,40,45,37']","09,14,19,21,39,47,11"
"['05,07,21,22,31,43,04', '13,22,24,35,40,45,37', '09,14,19,21,39,47,11']","02,03,25,44,45,48,31"
"['13,22,24,35,40,45,37', '09,14,19,21,39,47,11', '02,03,25,44,45,48,31']","19,23,25,26,31,43,10"
"['09,14,19,21,39,47,11', '02,03,25,44,45,48,31', '19,23,25,26,31,43,10']","01,04,09,20,25,35,43"
"['02,03,25,44,45,48,31', '19,23,25,26,31,43,10', '01,04,09,20,25,35,43']","06,19,27,31,33,42,13"
"['19,23,25,26,31,43,10', '01,04,09,20,25,35,43', '06,19,27,31,33,42,13']","04,05,14,36,37,40,25"
"['01,04,09,20,25,35,43', '06,19,27,31,33,42,13', '04,05,14,36,37,40,25']","08,22,23,39,44,47,36"
"['06,19,27,31,33,42,13', '04,05,14,36,37,40,25', '08,22,23,39,44,47,36']","01,20,21,28,36,38,30"
"['04,05,14,36,37,40,25', '08,22,23,39,44,47,36', '01,20,21,28,36,38,30']","16,18,23,27,28,29,19"
"['08,22,23,39,44,47,36', '01,20,21,28,36,38,30', '16,18,23,27,28,29,19']","22,31,36,37,43,44,11"
"['01,20,21,28,36,38,30', '16,18,23,27,28,29,19', '22,31,36,37,43,44,11']","04,05,07,13,26,46,24"
"['16,18,23,27,28,29,19', '22,31,36,37,43,44,11', '04,05,07,13,26,46,24']","26,27,28,30,31,43,08"
"['22,31,36,37,43,44,11', '04,05,07,13,26,46,24', '26,27,28,30,31,43,08']","06,24,46,47,48,49,40"
"['04,05,07,13,26,46,24', '26,27,28,30,31,43,08', '06,24,46,47,48,49,40']","10,21,41,44,45,48,32"
"['26,27,28,30,31,43,08', '06,24,46,47,48,49,40', '10,21,41,44,45,48,32']","02,05,17,20,25,48,14"
"['06,24,46,47,48,49,40', '10,21,41,44,45,48,32', '02,05,17,20,25,48,14']","02,06,15,21,31,45,24"
"['10,21,41,44,45,48,32', '02,05,17,20,25,48,14', '02,06,15,21,31,45,24']","02,30,32,36,43,47,49"
